crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
16,18,1,8,1,1,8,18,1,1,1,1,1,0
10,17,9,9,9,17,9,18,1,1,1,0,1,0
6,12,8,3,3,3,12,5,1,1,1,1,0,1
13,7,11,17,5,5,11,11,0,0,1,1,0,0
15,8,8,19,19,8,19,19,0,0,0,0,0,0
13,8,5,18,5,5,5,6,1,0,1,1,1,1
9,8,8,19,19,8,14,17,0,0,0,0,0,0
6,17,13,13,13,5,13,4,1,1,1,1,1,1
1,4,1,1,1,4,1,1,1,1,1,0,1,1
13,8,19,15,15,15,15,15,0,0,0,0,0,0
19,19,18,18,18,18,18,18,1,1,1,1,1,1
9,10,4,15,4,4,4,18,1,0,1,1,1,0
9,3,11,6,6,6,6,6,0,0,0,0,0,0
9,3,19,17,17,3,2,16,0,0,0,0,1,0
11,6,15,15,15,15,15,15,0,0,0,0,0,0
2,10,3,3,3,3,4,4,1,1,1,1,1,1
3,7,7,7,7,7,3,7,0,0,0,0,1,0
15,6,12,6,12,12,6,6,0,0,0,0,0,0
6,3,18,18,18,18,3,5,0,0,0,0,0,0
5,8,7,7,8,7,16,7,1,1,0,1,0,1
10,1,1,1,12,12,12,12,0,0,0,0,0,0
6,11,2,7,5,11,3,2,1,1,1,0,1,1
1,3,3,3,3,1,3,3,0,0,0,1,0,0
11,10,19,6,19,19,19,19,0,1,0,0,0,0
16,5,8,8,8,8,8,8,0,0,0,0,0,0
14,6,11,17,17,17,11,17,0,0,0,0,0,0
2,1,2,13,3,3,2,3,0,0,0,0,0,0
1,9,1,1,1,1,1,1,1,1,1,1,1,1
5,2,9,12,5,9,9,9,0,0,0,0,0,0
3,10,10,10,10,10,10,10,0,0,0,0,0,0
14,11,15,6,15,6,6,11,0,1,0,1,1,0
11,1,1,1,8,8,8,8,0,0,0,0,0,0
1,2,2,2,2,2,2,2,0,0,0,0,0,0
13,14,3,18,3,3,3,3,1,0,1,1,1,1
7,14,8,8,19,2,8,2,1,1,0,1,1,1
14,13,5,5,5,8,5,17,1,1,1,1,1,0
11,14,18,18,18,14,14,18,0,0,0,0,0,0
9,4,12,8,8,12,8,12,0,0,0,0,0,0
2,6,7,6,7,6,6,6,0,0,0,0,0,0
8,10,3,17,10,17,8,8,1,0,0,0,1,1
3,9,9,19,9,9,9,3,0,0,0,0,0,1
19,19,6,6,6,6,6,6,1,1,1,1,1,1
17,7,18,18,12,18,18,18,0,0,0,0,0,0
1,2,4,1,1,4,1,1,0,1,1,0,1,1
10,13,4,7,4,4,13,4,1,1,1,1,0,1
2,18,1,3,3,10,18,3,1,1,1,1,0,1
1,2,4,1,1,4,1,1,0,1,1,0,1,1
12,13,17,13,17,17,17,17,0,0,0,0,0,0
7,13,4,18,13,9,13,8,1,0,0,1,0,1
14,17,6,6,6,6,6,6,1,1,1,1,1,1
18,19,17,17,12,17,19,17,1,1,1,1,0,1
7,6,13,2,6,6,2,2,0,1,0,0,1,1
4,1,6,1,1,1,4,6,0,0,0,0,0,0
15,12,11,11,11,11,11,11,1,1,1,1,1,1
10,6,6,6,5,6,5,6,0,0,1,0,1,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
3,2,5,3,3,3,5,3,0,0,0,0,0,0
4,15,4,11,16,11,4,4,1,1,0,1,1,1
14,11,4,8,4,8,4,4,1,1,1,1,1,1
19,19,7,7,7,7,7,7,1,1,1,1,1,1
18,6,6,11,6,6,6,6,0,0,0,0,0,0
1,18,1,1,1,18,1,1,1,1,1,0,1,1
14,7,17,17,15,15,17,15,0,0,0,0,0,0
14,11,15,12,15,15,15,12,0,0,0,0,0,0
3,5,4,2,4,3,5,4,1,1,1,1,0,1
2,0,15,15,15,0,0,15,0,0,0,0,0,0
1,5,5,5,5,4,4,5,0,0,0,1,1,0
6,9,4,9,9,4,4,7,1,0,0,1,1,1
8,10,17,17,17,17,7,9,0,0,0,0,1,1
2,6,0,6,6,0,0,6,1,0,0,1,1,0
3,4,4,2,2,6,6,4,0,1,1,0,0,0
3,1,19,19,6,6,7,9,0,0,0,0,0,0
14,11,6,6,6,6,6,6,1,1,1,1,1,1
13,15,1,1,15,15,18,18,1,1,0,0,0,0
1,2,2,2,2,2,2,2,0,0,0,0,0,0
2,13,2,13,8,8,8,2,1,0,1,1,1,1
